Name	Order	Family	Species	Habitat	Type	AMF Status (FungalRoot database)	RAD1	STR1	STR2	SymRK (DMI2)	CCaMK (DMI3)	CYCLOPS (IDP3)	CASTOR	VAPYRIN	RAM1	ABCB20	CCD	GRAS	HYP4	RFCa	NENA	KinG1	HYP3	D27	FatM	EPP1	SYN	PT4	KinF	NSP2	LIN	NUP133	KinG2	TAU	pp2a	MCA8	CCD8	RAM2	NUP85	DHY	ABCB12	CYTB561	CCD7	DnaJ	NFP	RFCb	DMI1	SEC	HEP	EXO70	HYP2
*Arabidopsis thaliana* (GCF_000001735.4)	Brassicales	Brassicaceae	Arabidopsis thaliana	Terrestrial	Genome (Annotated)	NM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Brachypodium distachyon* (GCF_000005505.3)	Poales	Poaceae	Brachypodium distachyon	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
*Colocasia esculenta* (GCA_009445465.1)	Alismatales	Araceae	Colocasia esculenta	Terrestrial	Genome (Annotated)	AM	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	NA	TRUE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
*Colocasia esculenta* (GCA_013364625.1)	Alismatales	Araceae	Colocasia esculenta	Terrestrial	Genome (Unannotated)	AM	TRUE	TRUE	TRUE	FALSE	FALSE	NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	TRUE	NA	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	NA
*Colocasia esculenta* (GCA_014218235.1)	Alismatales	Araceae	Colocasia esculenta	Terrestrial	Genome (Unannotated)	AM	NA	TRUE	NA	FALSE	NA	NA	NA	TRUE	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	NA	NA	TRUE	NA	FALSE	TRUE	NA	NA	NA	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	FALSE	NA	FALSE	TRUE	NA
*Cryptocoryne crispatula var. balansae* (GCA_036172225.1)	Alismatales	Araceae	Cryptocoryne crispatula var. balansae	Freshwater	Genome (Unannotated)	NM-AM	FALSE	FALSE	NA	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	FALSE	NA	FALSE	FALSE	TRUE	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	NA
*Cymodocea nodosa* (GCA_036874025.1)	Alismatales	Cymodoceaceae	Cymodocea nodosa	Marine	Genome (Unannotated)	NM	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	FALSE	NA	TRUE	FALSE	TRUE	NA	NA	FALSE	TRUE	NA	FALSE	NA	TRUE	NA	NA	NA	NA
*Cymodocea nodosa* (GCA_036874045.1)	Alismatales	Cymodoceaceae	Cymodocea nodosa	Marine	Genome (Unannotated)	NM	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	FALSE	NA	TRUE	FALSE	TRUE	NA	NA	NA	TRUE	NA	FALSE	NA	TRUE	NA	NA	NA	NA
*Cymodocea nodosa* (GEMM01)	Alismatales	Cymodoceaceae	Cymodocea nodosa	Marine	Transcriptome	NM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Cymodocea nodosa* (HADH01)	Alismatales	Cymodoceaceae	Cymodocea nodosa	Marine	Transcriptome	NM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Dendrobium catenatum* (GCF_001605985.2)	Asparagales	Orchidaceae	Dendrobium catenatum	Terrestrial	Genome (Annotated)	NM	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Elodea nuttallii* (GAFQ01)	Alismatales	Hydrocharitaceae	Elodea nuttallii	Freshwater	Transcriptome	NM-AM	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	NA	FALSE	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	NA
*Elodea nuttallii* (GBEN01)	Alismatales	Hydrocharitaceae	Elodea nuttallii	Freshwater	Transcriptome	NM-AM	NA	FALSE	FALSE	FALSE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Hordeum vulgare subsp. vulgare* (GCF_904849725.1)	Poales	Poaceae	Hordeum vulgare subsp. vulgare	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
*Lemna minuta* (GCA_024174645.1)	Alismatales	Araceae	Lemna minuta	Freshwater	Genome (Unannotated)	NM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	TRUE	NA	FALSE	FALSE	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	NA	NA	NA
*Medicago truncatula* (GCA_000219495.2)	Fabales	Fabaceae	Medicago truncatula	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
*Musa acuminata subsp. malaccensis* (GCF_000313855.2)	Zingiberales	Zingiberaceae	Musa acuminata subsp. malaccensis	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
*Nelumbo nucifera* (GCF_000365185.1)	Proteales	Nelumbonaceae	Nelumbo nucifera	Freshwater	Genome (Annotated)	NM	FALSE	NA	FALSE	FALSE	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Oryza sativa Japonica Group* (GCF_001433935.1)	Poales	Poaceae	Oryza sativa Japonica Group	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	NA	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
*Ottelia alismoides* (GCA_037367405.1)	Alismatales	Hydrocharitaceae	Ottelia alismoides	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	NA
*Phalaenopsis equestris* (GCF_001263595.1)	Asparagales	Orchidaceae	Phalaenopsis equestris	Terrestrial	Genome (Annotated)	NM	FALSE	NA	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	NA	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Phaseolus vulgaris* (GCF_000499845.1)	Fabales	Fabaceae	Phaseolus vulgaris	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
*Posidonia australis* (GCA_024699735.1)	Alismatales	Posidoniaceae	Posidonia australis	Marine	Genome (Unannotated)	NM	FALSE	NA	FALSE	FALSE	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	NA
*Posidonia oceanica* (GCA_037176725.1)	Alismatales	Posidoniaceae	Posidonia oceanica	Marine	Genome (Unannotated)	NM	FALSE	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	FALSE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	NA	NA	TRUE	FALSE	FALSE	NA	TRUE	NA	NA	NA	NA
*Posidonia oceanica* (GCA_037176745.1)	Alismatales	Posidoniaceae	Posidonia oceanica	Marine	Genome (Unannotated)	NM	FALSE	NA	FALSE	FALSE	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	NA
*Posidonia oceanica* (GEMD01)	Alismatales	Posidoniaceae	Posidonia oceanica	Marine	Transcriptome	NM	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	TRUE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Posidonia oceanica* (GFJT01)	Alismatales	Posidoniaceae	Posidonia oceanica	Marine	Transcriptome	NM	FALSE	NA	FALSE	FALSE	TRUE	NA	NA	TRUE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	FALSE	NA	FALSE	TRUE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Posidonia oceanica* (GGFN01)	Alismatales	Posidoniaceae	Posidonia oceanica	Marine	Transcriptome	NM	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	TRUE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Sagittaria trifolia* (GJWL01)	Alismatales	Alismataceae	Sagittaria trifolia	Freshwater	Transcriptome	NM-AM	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Setaria italica* (GCF_000263155.2)	Poales	Poaceae	Setaria italica	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
*Sorghum bicolor* (GCF_000003195.3)	Poales	Poaceae	Sorghum bicolor	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
*Spirodela intermedia* (GCA_902703425.1)	Alismatales	Araceae	Spirodela intermedia	Freshwater	Genome (Annotated)	NM-AM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
*Spirodela intermedia* (GCA_902729315.2)	Alismatales	Araceae	Spirodela intermedia	Freshwater	Genome (Annotated)	NM-AM	FALSE	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
*Spirodela polyrhiza* (GCA_000504445.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	FALSE	TRUE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA
*Spirodela polyrhiza* (GCA_001981405.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	FALSE	NA	NA	NA	NA	FALSE	FALSE	NA	FALSE	NA	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA
*Spirodela polyrhiza* (GCA_008360905.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	NA	FALSE	NA	TRUE	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
*Spirodela polyrhiza* (GCA_013350415.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	NA	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	NA	NA	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	NA	FALSE	FALSE	NA	NA	TRUE	NA	FALSE	NA	FALSE	NA	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	NA
*Spirodela polyrhiza* (GCA_024713555.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	TRUE	NA	FALSE	NA	TRUE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
*Spirodela polyrhiza* (GCA_900492545.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	NA	NA	NA	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
*Spirodela polyrhiza* (GCA_900536055.1)	Alismatales	Araceae	Spirodela polyrhiza	Freshwater	Genome (Unannotated)	NM-AM	FALSE	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	TRUE	FALSE	NA	NA	NA	NA	FALSE	FALSE	NA	FALSE	NA	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA
